,af,mm,rain,sun,tmax,tmin,yyyy
0,6,1,122.1,---,6.3,1.7,1883
1,2,2,69.8,---,8.0,2.8,1883
2,23,3,29.6,---,4.8,-1.6,1883
3,2,4,74.0,---,12.2,3.8,1883
4,0,5,31.2,---,14.7,6.2,1883
5,0,6,66.2,---,17.7,9.3,1883
6,0,7,77.6,---,18.8,10.5,1883
7,0,8,32.5,---,19.8,10.9,1883
8,0,9,137.4,---,16.8,10.0,1883
9,0,10,102.9,---,12.7,6.4,1883
10,1,11,83.6,---,8.6,3.5,1883
11,4,12,48.6,---,7.3,2.4,1883
12,3,1,127.7,---,8.4,3.5,1884
13,3,2,49.4,---,8.0,2.1,1884
14,4,3,50.4,---,9.5,2.5,1884
15,4,4,48.0,---,10.6,3.3,1884
16,0,5,33.1,---,15.7,6.4,1884
17,0,6,39.7,---,18.2,8.7,1884
18,0,7,80.1,---,20.8,11.8,1884
19,0,8,36.8,---,22.6,11.8,1884
20,0,9,34.0,---,18.4,10.5,1884
21,0,10,36.5,---,12.3,6.3,1884
22,4,11,30.9,---,9.0,3.4,1884
23,7,12,81.6,---,6.6,1.7,1884
24,15,1,56.9,---,4.7,0.4,1885
25,5,2,76.4,---,8.5,2.4,1885
26,10,3,41.6,---,7.8,0.8,1885
27,3,4,49.5,---,11.6,3.4,1885
28,0,5,58.1,---,12.9,4.4,1885
29,0,6,76.4,---,18.6,9.2,1885
30,0,7,17.8,---,21.0,11.4,1885
31,0,8,59.5,---,17.1,9.4,1885
32,0,9,85.3,---,16.4,7.8,1885
33,0,10,172.5,---,10.5,4.5,1885
34,4,11,62.2,---,8.0,3.3,1885
35,11,12,31.9,---,7.0,0.9,1885
36,20,1,121.8,---,4.5,-0.7,1886
37,20,2,14.2,---,3.9,-1.0,1886
38,18,3,84.8,---,6.1,0.2,1886
39,2,4,47.5,---,10.9,2.8,1886
40,0,5,181.0,---,13.9,5.7,1886
41,0,6,26.5,---,17.3,8.5,1886
42,0,7,94.2,---,20.8,11.5,1886
43,0,8,49.7,---,20.8,11.7,1886
44,0,9,30.8,---,17.7,9.8,1886
45,0,10,125.1,---,13.8,8.1,1886
46,0,11,37.0,---,9.7,3.8,1886
47,12,12,127.7,---,4.9,-0.5,1886
48,16,1,61.2,---,5.1,-0.6,1887
49,12,2,13.6,---,7.5,0.6,1887
50,16,3,42.5,---,7.1,0.1,1887
51,0,4,26.3,---,11.0,5.1,1887
52,0,5,46.6,---,12.3,5.3,1887
53,0,6,11.2,---,21.0,10.2,1887
54,0,7,25.2,---,23.7,12.6,1887
55,0,8,40.7,---,20.7,10.6,1887
56,0,9,57.2,---,15.3,8.0,1887
57,4,10,58.8,---,10.6,4.4,1887
