Sexo;Peso [kg]
HOMBRE;72.72
HOMBRE;69.12
HOMBRE;65.26
MUJER;49.35
MUJER;61.84
HOMBRE;64.82
MUJER;72.07
HOMBRE;71.48
HOMBRE;82.92
MUJER;51.07
HOMBRE;90.47
HOMBRE;82.24
MUJER;47.7
MUJER;64.32
MUJER;38.07
MUJER;59.48
MUJER;67.19
MUJER;42.94
MUJER;57.06
MUJER;87.16
HOMBRE;43.28
HOMBRE;56.13
MUJER;103.34
MUJER;52.82
HOMBRE;70.6
HOMBRE;54.28
HOMBRE;58.28
MUJER;42.87
MUJER;20.98
MUJER;107.11
HOMBRE;65.56
HOMBRE;90.3
MUJER;89.46
HOMBRE;82.62
HOMBRE;51.96
HOMBRE;70.8
MUJER;55.18
MUJER;36.67
MUJER;83.77
MUJER;61.1
MUJER;45.88
HOMBRE;66.57
MUJER;36.13
HOMBRE;87.64
MUJER;32.91
MUJER;33.56
MUJER;56.17
MUJER;26.03
HOMBRE;79.74
MUJER;82.76
MUJER;58.28
MUJER;15.63
MUJER;44.49
HOMBRE;79.17
MUJER;108.74
MUJER;65.32
MUJER;72.59
HOMBRE;63.08
HOMBRE;50.44
MUJER;83.14
MUJER;41.47
MUJER;65.17
MUJER;66.73
MUJER;65.24
MUJER;14.34
MUJER;16.66
MUJER;35.75
HOMBRE;41.63
MUJER;81.91
MUJER;52.61
HOMBRE;56.29
HOMBRE;63.57
MUJER;65.09
HOMBRE;86.56
MUJER;73.03
MUJER;70.96
MUJER;75.11
HOMBRE;77.81
HOMBRE;101.59
MUJER;47.38
MUJER;78.89
HOMBRE;87.97
HOMBRE;70.66
MUJER;76.55
HOMBRE;37.22
MUJER;42.05
MUJER;44.75
MUJER;59.04
HOMBRE;75.01
MUJER;58.84
MUJER;57.23
MUJER;48.75
MUJER;30.32
HOMBRE;80.38
HOMBRE;76.92
HOMBRE;87.69
MUJER;46.09
MUJER;122.84
HOMBRE;84.33
HOMBRE;93.65
MUJER;81.17
HOMBRE;58.31
MUJER;70.56
MUJER;27.1
HOMBRE;61.01
HOMBRE;53.97
MUJER;67.14
HOMBRE;59.79
MUJER;24.3
MUJER;26.6
HOMBRE;61.82
MUJER;77.88
HOMBRE;42.88
MUJER;81.98
MUJER;52.69
HOMBRE;53.55
HOMBRE;75.74
MUJER;72
HOMBRE;75.6
MUJER;71.83
MUJER;70.32
MUJER;63.21
MUJER;26.16
MUJER;54.51
MUJER;82.88
HOMBRE;86.51
HOMBRE;71.63
MUJER;67.81
MUJER;74.92
HOMBRE;86.66
MUJER;58.54
HOMBRE;92.51
HOMBRE;72.4
HOMBRE;67.52
HOMBRE;70.16
HOMBRE;69.14
HOMBRE;46.47
HOMBRE;59.96
HOMBRE;85.82
HOMBRE;74.92
MUJER;69.92
MUJER;58.44
HOMBRE;67.51
MUJER;31.13
MUJER;67.77
MUJER;51.79
MUJER;67.23
HOMBRE;71.59
MUJER;51.29
MUJER;86.86
MUJER;91.49
MUJER;80.65
MUJER;81.26
MUJER;39.76
HOMBRE;80.63
HOMBRE;106.47
MUJER;79.3
HOMBRE;45.62
HOMBRE;100.56
HOMBRE;81.57
MUJER;46.58
HOMBRE;62.26
HOMBRE;72.61
HOMBRE;102.1
MUJER;75.18
MUJER;36.39
MUJER;48.61
HOMBRE;68.97
HOMBRE;73.66
MUJER;59.2
MUJER;73.06
MUJER;41.29
HOMBRE;80.92
HOMBRE;40.32
HOMBRE;92.66
HOMBRE;62.89
HOMBRE;113.05
MUJER;59.19
MUJER;36.02
HOMBRE;84.16
MUJER;44.48
HOMBRE;69.1
MUJER;26.22
HOMBRE;72.96
MUJER;49.61
MUJER;44.67
HOMBRE;57.39
MUJER;56.79
MUJER;49.26
HOMBRE;59.89
HOMBRE;96.04
MUJER;91.74
HOMBRE;84.22
MUJER;57.76
MUJER;66.46
MUJER;85.28
MUJER;74.81
HOMBRE;62.69
HOMBRE;56.74
MUJER;50.79
MUJER;69.77
MUJER;108.62
MUJER;66.44
HOMBRE;89.71
MUJER;99.5
HOMBRE;100.78
HOMBRE;102.84
MUJER;63.64
MUJER;43.1
MUJER;39.36
MUJER;50.35
HOMBRE;64.34
HOMBRE;68.24
MUJER;55.04
HOMBRE;70
MUJER;46.49
HOMBRE;71.71
MUJER;77.32
MUJER;19.13
HOMBRE;86.48
HOMBRE;101.65
MUJER;71.17
HOMBRE;57.6
MUJER;65.06
MUJER;66.75
MUJER;73.7
MUJER;96.73
MUJER;68.23
HOMBRE;84.96
HOMBRE;82.29
HOMBRE;77.99
MUJER;105.96
HOMBRE;105.48
HOMBRE;52.78
MUJER;48.27
MUJER;68.65
MUJER;59.78
HOMBRE;72.14
HOMBRE;86.87
HOMBRE;66.35
HOMBRE;84.47
HOMBRE;74.06
MUJER;53.61
HOMBRE;62.64
HOMBRE;66.88
MUJER;55.42
MUJER;98.96
MUJER;36.53
MUJER;68.49
MUJER;76.83
HOMBRE;75.52
MUJER;91.2
HOMBRE;81.28
HOMBRE;62.26
HOMBRE;90.07
MUJER;58.72
MUJER;57.26
